
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
Stan Hywet Hall & Gardens,,,,,,,,,,,
Skidmark Garage CLE,,,,,,,,"AboutSkidmark is a DIY Community Motorcycle Garage, a series of educational programs and event rental space. We are a safe place where everyone has something to contribute.",,,
"Szabó Services, LLC",,,,,,,,"AboutLife coaching techniques applied to unleash the potential of small business owners. Increasing power, energy, clarity and alignment in one's life and business through one or two phone calls a month.",,,
"Szabó Services, LLC",,,,,,,,"AboutLife coaching techniques applied to unleash the potential of small business owners. Increasing power, energy, clarity and alignment in one's life and business through one or two phone calls a month.",,,
"Szweda Consulting, LLC",,,,,,,,"AboutSzweda Consulting, LLC is a Cleveland, Ohio, based accounting firm focused on the specialty needs of small businesses and their owners. We are results-oriented, QBO Advanced Certified accountants. We leverage accounting data to enhance your profitability. We work with all types of businesses: sole proprietors, single-member LLCs, partnerships, and S and C Corporations. We support our clients with accounting, QuickBooks bookkeeping, payroll, CFO services, and tax planning throughout the year",,,
SkinnyBoy Media,,,,,,,,"AboutSkinnyBoy Media is a full service DJ company based in Cleveland, Ohio.",,,
Skylight Financial Group,,,,,,,,,,,
Stan Hywet Hall & Gardens,,,,,,,,,,,
Sisters of Economic Action,,,,,,,,"AboutMission StatementSisters of Economic Action is dedicated to the women of color in community and economic development. Through our networking events, mentorship programs, and collaborative initiatives, we strive to create a nurturing environment that fosters professional growth and leadership and significantly contributes to sustainable communities' development.Vision StatementOur vision is to be a leading professional association that cultivates a vibrant and inclusive community where women",,,
STEM Handmade Soap,,,,,,,,"AboutWe create all natural handmade formulations for soaps, lotions, shampoo, deodorant, body butters and other related bath and body products.  We have two brick and mortar stores and e-commerce business.",,,
Saucisson,,,,,,,,"AboutStarted in 2013, Saucisson’s mission is to provide unique and hard-to-find products. From hand-cured meats to specially spiced sausages, Saucisson supports local family farms that are humane and hormone-free.  We are committed to bringing you the highest quality meats, building their community & giving you excellent service.Online Ordering & In-store Shopping Available",,,
Scarlato's Pizzeria,,,,,,,,"AboutWe’re building more than pies at @scarlatospizza, we’re building community!",,,
"Statement Limousine, LLC",,,,,,,,AboutStatement Limousine is a premier transportation provider in Northeast Ohio. We offer vehicles from 2 to 50 passengers that are all owned and operated in house. Call today at 440-949-2220.,,,
Sappho and Her Beans,,,,,,,,AboutLGBT and woman owned coffee roaster focusing on organic and fair trade coffees.,,,
"Sokany Strategic Consulting, LLC",,,,,,,,"AboutA senior executive specializing in fundraising and institutional advancement.  Deep experience in donor relations, campaign management, staff management, and volunteer recruitment and engagement.",,,
Sweets and Geeks,,,,,,,,"AboutThe mission of Sweets & Geeks is to be valued as the neighborhood’s favorite candy & game store by bringing the nostalgic candy, soda & pop culture to Northeast Ohio.",,,
Stonewall Sports,,,,,,,,,,,
Skylight Financial Group,,,,,,,,,,,
"Statement Limousine, LLC",,,,,,,,AboutStatement Limousine is a premier transportation provider in Northeast Ohio. We offer vehicles from 2 to 50 passengers that are all owned and operated in house. Call today at 440-949-2220.,,,
Stonewall Columbus,,,,,,,,"AboutCentral Ohio’s Lesbian, Gay, Bisexual, Transgender and Queer (LGBTQ+) Community Organization.Stonewall Columbus was founded in 1981 with the goal of “increasing the visibility and acceptance of the gay, lesbian, bisexual, and transgender (GLBT) community.” During the course of Stonewall’s 39-year existence, Columbus and the LGBTQ+ community has changed. The City of Columbus is now the 14th largest city in the country and recognized as one of the most LGBTQ+ friendly cities in the United Sta",,,
Shamus Dickinson - Howard Hanna Real Estate Services,,,,,,,,"AboutCleveland's Tallest Relator and Howard Hanna make quite the duet. Providing a multitude of real estate services for the LGBTQIA+ community. First time home buyers, sellers looking to downsize/right-si",,,
Sustainable Economies Consulting LLC,,Wooster,OH,44691,234-249-0298,eschuster@sustainableeconomiesconsulting.com,sustainableeconomiesconsulting.com,AboutWe work w/ nonprofits who get stuck as they scale their programs. We use economic insights to support communities & sustainability through strategic planning & economics research.,,2025-11-29,Email
Solidago Business Advisors,,,,,,,,"AboutHarness the power of AI technology to enhance your small businesses print and digital presence - all at an affordable price.?At Solidago, we prioritize your vision, offering specialized services in social media management, website curation, and print design catered to businesses just like yours.",,,
Stonewall Columbus,,,,,,,,"AboutCentral Ohio’s Lesbian, Gay, Bisexual, Transgender and Queer (LGBTQ+) Community Organization.Stonewall Columbus was founded in 1981 with the goal of “increasing the visibility and acceptance of the gay, lesbian, bisexual, and transgender (GLBT) community.” During the course of Stonewall’s 39-year existence, Columbus and the LGBTQ+ community has changed. The City of Columbus is now the 14th largest city in the country and recognized as one of the most LGBTQ+ friendly cities in the United Sta",,,
"Sokany Strategic Consulting, LLC",,,,,,,,"AboutA senior executive specializing in fundraising and institutional advancement.  Deep experience in donor relations, campaign management, staff management, and volunteer recruitment and engagement.",,,
STEM Handmade Soap,,,,,,,,"AboutWe create all natural handmade formulations for soaps, lotions, shampoo, deodorant, body butters and other related bath and body products.  We have two brick and mortar stores and e-commerce business.",,,
Summa Health,,,,,,,,"AboutSumma Health provides healthcare services to a five-county area – Summit, Medina, Portage, Stark and Wayne – within Northeast Ohio. With medical services organized under the umbrella of Summa Health System, we have served millions of patients in comprehensive acute, critical, emergency, urgent care, outpatient and long-term/home-care settings.All of our services include and coordinated care in an effort to positively impact the health of our entire community. Our specialty care includes pri",,,
SkinnyBoy Media,,,,,,,,"AboutSkinnyBoy Media is a full service DJ company based in Cleveland, Ohio.",,,
Seeds of Literacy,,,,,,,,"AboutThe number of adults facing functional illiteracy in Cleveland is staggering. Adults are surviving, but not thriving, while struggling with navigating public transportation, running a household, and following medical instructions. They may struggle to advance at work, and may not even qualify for gainful employment. This affects multiple generations, as they are also unable to help children with schoolwork.Recognizing that it is NEVER too late to graduate, Seeds of Literacy offers individua",,,
Studio West 117,,,,,,,,"AboutWelcome to a first-of-its-kind neighborhood created for and by the LGBTQ+ community of Greater Cleveland. Open to people of all ages and spanning over 300,000 square feet, Studio West 117 is an evolving collection of entertainment, sports and dining venues in addition to housing, identity-affirming businesses and social services.",,,
Shiny Penny Studios,,,,,,,,"AboutShiny Penny Studios is a team of experienced event photographers and content creators focused on capturing genuine visual memories.Brought together by the magic of theatre and community, Keli, Hannah, and Whitney met backstage working on theatre projects in Cleveland community theatre. Keli quickly realized that the theatre kids already had a love of visual storytelling combined with an organic and healthy understanding of event logistics, and quality imagery. Making important events stress",,,
Sisters of Economic Action,,,,,,,,"AboutMission StatementSisters of Economic Action is dedicated to the women of color in community and economic development. Through our networking events, mentorship programs, and collaborative initiatives, we strive to create a nurturing environment that fosters professional growth and leadership and significantly contributes to sustainable communities' development.Vision StatementOur vision is to be a leading professional association that cultivates a vibrant and inclusive community where women",,,
Swarm Strategy,,,,,,,,"AboutSwarm Strategy was founded in June 2020 by Bryce J. Celotto — longtime policy advocate, educator, facilitator and strategist. Swarm Strategy is a comprehensive consulting agency dedicated to advancing Justice, Equity, Diversity and Inclusion (JEDI) centered policies, practices, leadership principles and actionable support across organizations and companies. Swarm offers clients a variety of products and services including Justice, Equity, Diversity and Inclusion (JEDI) centered workshops, e",,,
Saucisson,,,,,,,,"AboutStarted in 2013, Saucisson’s mission is to provide unique and hard-to-find products. From hand-cured meats to specially spiced sausages, Saucisson supports local family farms that are humane and hormone-free.  We are committed to bringing you the highest quality meats, building their community & giving you excellent service.Online Ordering & In-store Shopping Available",,,
Smart-LE,,,,,,,,,,,
Sappho and Her Beans,,,,,,,,AboutLGBT and woman owned coffee roaster focusing on organic and fair trade coffees.,,,
Scarlato's Pizzeria,,,,,,,,"AboutWe’re building more than pies at @scarlatospizza, we’re building community!",,,
Seeds of Literacy,,,,,,,,"AboutThe number of adults facing functional illiteracy in Cleveland is staggering. Adults are surviving, but not thriving, while struggling with navigating public transportation, running a household, and following medical instructions. They may struggle to advance at work, and may not even qualify for gainful employment. This affects multiple generations, as they are also unable to help children with schoolwork.Recognizing that it is NEVER too late to graduate, Seeds of Literacy offers individua",,,
Stonewall Sports,,,,,,,,,,,
Smart-LE,,,,,,,,,,,
Sits 'n Wiggles Dog Training 'n Behavior Consulting,,,,,,,,"AboutSits 'n Wiggles Service Dog Training 'n Behavior Consulting is Cleveland's premier dog training company. We use evidence-backed, rewards-based training, and behavior modification.SERVICES:- Service Dog Training- Behavior Consulting- Day Training",,,
Solidago Business Advisors,,,,,,,,"AboutHarness the power of AI technology to enhance your small businesses print and digital presence - all at an affordable price.?At Solidago, we prioritize your vision, offering specialized services in social media management, website curation, and print design catered to businesses just like yours.",,,
Summa Health,,,,,,,,"AboutSumma Health provides healthcare services to a five-county area – Summit, Medina, Portage, Stark and Wayne – within Northeast Ohio. With medical services organized under the umbrella of Summa Health System, we have served millions of patients in comprehensive acute, critical, emergency, urgent care, outpatient and long-term/home-care settings.All of our services include and coordinated care in an effort to positively impact the health of our entire community. Our specialty care includes pri",,,
Streamline Technology Group,,,,,,,,"AboutIT firm based in Cleveland, serving small to medium-sized businesses and non-profits in Northeast Ohio. We offer a range of IT services, including helpdesk support, server/network support, IT Planning",,,
Sits 'n Wiggles Dog Training 'n Behavior Consulting,,,,,,,,"AboutSits 'n Wiggles Service Dog Training 'n Behavior Consulting is Cleveland's premier dog training company. We use evidence-backed, rewards-based training, and behavior modification.SERVICES:- Service Dog Training- Behavior Consulting- Day Training",,,
Twist of Fate CLE LLC,,,,,,,,"AboutAt Twist of Fate Mobile Bar, we believe every celebration deserves a moment that feels fated — that spark when connection, creativity, and craft collide. Founded by Heather Mauk, Twist of Fate is a women-owned, LGBTQIA+ inclusive mobile bartending service proudly serving the greater Cleveland area. Our mission is simple: to turn every pour into a story and every event into a memory your guests will never forget.We specialize in custom cocktails and mocktails designed to reflect your style, ",,,
The Davey Tree Expert Company,,,,,,,,"AboutThe Davey Tree Expert Company has grown from a small seedling of an idea first planted by John Davey into a giant within the green industry. Our founder, John Davey, known as the “Father of Tree Surgery,” developed the concept that the health of a tree could be maintained like that of a human when he founded The Davey Tree Expert Company in 1880. Since then, Davey has set industry standards for tree care and become one of the largest employee-owned companies in North America. As Davey has g",,,
The Brother's Lounge,,,,,,,,,,,
The Goodyear Tire & Rubber Company,,,,,,jordan_kachmarik@goodyear.com,,"AboutGET TO KNOW THE BRAND THAT'S DEVOTED TO DRIVING EXCELLENCE.For over 100 years, The Goodyear Tire & Rubber Company has been changing the way we move. From the tires made for your drive to the tires we put on the moon, we're always focused on what's next. Visit our corporate site to see our proud history and to see what we're working on now.",,,
The MetroHealth System,,,,,,,,"AboutThe MetroHealth System is an essential health system committed to providing health care to everyone in Cuyahoga County, Ohio, and improving the health of the community overall.",,,
The Buckeye Flame,,,,,,,,"AboutThe Buckeye Flame amplifies the voices of LGBTQ+ Ohioans to support community and civic revitalizations through the creation of original content that details our triumphs, our struggles, and our lived experience.",,,
The Energy Producer Entertainment,,,,,,,,AboutRedefining Creativity to Electrify Your Event.EVENT HOSTS | FEMALE DJS | LightingMake your event a truly unique experience.,,,
The Yunker Group,,,,,,,,"AboutFounded in 1995 on the principle Helping Others Make a Difference®, The Yunker Group offers tailored C-level executive search services to 501(c)(3) and(c)(6) nonprofits.",,,
Twist of Fate CLE LLC,,,,,,,,"AboutAt Twist of Fate Mobile Bar, we believe every celebration deserves a moment that feels fated — that spark when connection, creativity, and craft collide. Founded by Heather Mauk, Twist of Fate is a women-owned, LGBTQIA+ inclusive mobile bartending service proudly serving the greater Cleveland area. Our mission is simple: to turn every pour into a story and every event into a memory your guests will never forget.We specialize in custom cocktails and mocktails designed to reflect your style, ",,,
The Davey Tree Expert Company,,,,,,,,"AboutThe Davey Tree Expert Company has grown from a small seedling of an idea first planted by John Davey into a giant within the green industry. Our founder, John Davey, known as the “Father of Tree Surgery,” developed the concept that the health of a tree could be maintained like that of a human when he founded The Davey Tree Expert Company in 1880. Since then, Davey has set industry standards for tree care and become one of the largest employee-owned companies in North America. As Davey has g",,,
The Young Latino Network,,,,,,,,,,,
Toolbar Graphics,,,,,,,,AboutWe make lasting impressions from a quick glance. Drop us a line to learn more.,,,
"Thellian Coaching, LLC",,,,,,,,AboutProviding life coaching,,,
The Red Twig Floral Design Studio,,,,,,,,"AboutThe Red Twig offers creative floral design to make events and spaces beautiful and memorable.Centrally located in Hudson, between Cleveland and Akron, Ohio, The Red Twig provides beautiful custom floral arrangements for event, individual, and commercial purposes. Unlike standard florists, with fixed inventory, we take an unrestrained approach to floral design, using multiple techniques to tailor-make each event fit the needs of our specific clients. Our flowers are purchased exclusively for",,,
Thompson Hine LLP,,,,,,,,"AboutFull-service corporate law firm with 13 offices in Ohio, California, Georgia, Illinois, New York and Washington, DC.",,,
"The Shinn Law Firm, LLC",,,,,,,,,,,
The Lubrizol Corporation,,,,,,,,AboutChemical Industry,,,
The Well CDC,,,,,,,,"AboutThe Well CDC invests in people through the built environment.We seek a holistic approach to address systemic issues in order to improve the quality of life within the Middlebury neighborhood by fostering choice in housing, job creation and community pride.As Akron?s first place-based community development corporation devoted to the Middlebury neighborhood, we seek to create a shared prosperity for current residents through housing, economic development, and placemaking initiatives.RESTORING",,,
Tri-C Corporate College,,,,,,,,,,,
Thrive Coaching & Consulting,,,,,,,,"AboutThrive Coaching & Consulting is a positive Human Resources provider of Fractional HR Leadership, Coaching and meaningful learning experiences.",,,
The Diversity Center of Northeast Ohio,,,,,,,,"AboutThe mission of The Diversity Center of Northeast Ohio is to eliminate bias, bigotry, and racism. Our vision is to create communities where everyone is connected, respected, and valued.SHIFT Consulting is the professional services division of The Diversity Center of Northeast Ohio. We focus on leadership and organizational development initiatives with a justice, equity, diversity, and inclusion (JEDI) lens. Through our partnerships with businesses and community leaders, we support the develo",,,
TransHumanity,,,,,,,,"AboutTrans Humanity is a transgender advocacy organization that aims to empower and support transgender and all gender diverse individuals in their personal and professional lives.Our organization provides a safe and inclusive space for transgender people to connect, share experiences, and access resources that address their unique needs.",,,
The Green Photograph,,,,,,,,"AboutThe Green Photograph is a woman-owned commercial photography business. It is rooted in color-theory, with a mission to respect the melanin, shade, and look of an individual.",,,
The Goodyear Tire & Rubber Company,,,,,,jordan_kachmarik@goodyear.com,,"AboutGET TO KNOW THE BRAND THAT'S DEVOTED TO DRIVING EXCELLENCE.For over 100 years, The Goodyear Tire & Rubber Company has been changing the way we move. From the tires made for your drive to the tires we put on the moon, we're always focused on what's next. Visit our corporate site to see our proud history and to see what we're working on now.",,,
The J.M. Smucker Company,,,,,,,,"AboutA leading consumer packaged goods company that makes great tasting, convenient and responsibly produced food that appeals to each generation of people and pets.",,,
The Center for Community Solutions,,,,,,,,"AboutThe Center for Community Solutions is a nonpartisan think tank focused on solutions to health, social and economic issues. Community Solutions’ efforts are critical to the work and effectiveness of direct service organizations in Northeast Ohio.These organizations use our data to identify changes in community demographics that will impact their services and identify the gaps and overlaps within these services. They use our analysis to better understand public policies that affect their work",,,
The Energy Producer Entertainment,,,,,,,,AboutRedefining Creativity to Electrify Your Event.EVENT HOSTS | FEMALE DJS | LightingMake your event a truly unique experience.,,,
Thompson Hine LLP,,,,,,,,"AboutFull-service corporate law firm with 13 offices in Ohio, California, Georgia, Illinois, New York and Washington, DC.",,,
The Madison,,,,,,,,AboutWedding Venue and conference center located in Midtown Cleveland,,,
The Presidents’ Council,,,,,,,,,,,
The City Club of Cleveland,,,,,,,,"AboutThe City Club of Cleveland is a vibrant, dynamic, and diverse Forum for citizens and thought leaders invested in understanding and discussing the issues and ideas that shape our future.",,,
"Troy Bratz, REALTOR  Keller Williams Elevate",18318 Pearl Road,Strongsville,OH,44136,216-702-2196,troybratz@kw.com,troybratz.kw.com,"AboutFather of 2 rambunctious kids and doggie daddy to our Aussie Cattle mix, Nymphadora... We are Harry Potter fans.Husband of 1 incredibly hard-working and devoted woman.20+ year veteran of the Real Estate industry... including Housing Policy Research, HUD Property Management, Affordable Housing & Market Rate Housing Development. Currently serving on the Board of Directors for the Lakewood Chamber of Commerce. When not serving as a room parent, soccer coach or chauffeur to the little ones, we ",,2025-11-29,Email
Talespinner Children's Theatre,,,,,,,,"AboutTalespinner Children's Theatre is a Cleveland-based company that develops and produces highly imaginative, original, collaborative and interactive professional works for children.",,,
Trans Ohio,,,,,,,,"AboutTransOhio serves the Ohio transgender and ally communities by providing services, education, support, and advocacy, which promotes and improves the health, safety and life experience of the Ohio transgender individual and community.",,,
The Home Is Key,,,,,,,,,,,
The Buckeye Flame,,,,,,,,"AboutThe Buckeye Flame amplifies the voices of LGBTQ+ Ohioans to support community and civic revitalizations through the creation of original content that details our triumphs, our struggles, and our lived experience.",,,
The Young Latino Network,,,,,,,,,,,
The Mallicoat Group- CrossCountry Mortgage LLC,,,,,,,,"AboutOur mission is simple: to provide you with the best possible advice and benefit to your financial needs while facilitating a straightforward, transparent mortgage process for buyers, sellers and realtors.Our goal is to be recognized as the leading and most reputable mortgage company in the nation. We begin that process by earning your trust through knowledge and communication. You are our first priority and we pride ourselves on developing rewarding, long-term customer relationships. We can",,,
The Diversity Center of Northeast Ohio,,,,,,,,"AboutThe mission of The Diversity Center of Northeast Ohio is to eliminate bias, bigotry, and racism. Our vision is to create communities where everyone is connected, respected, and valued.SHIFT Consulting is the professional services division of The Diversity Center of Northeast Ohio. We focus on leadership and organizational development initiatives with a justice, equity, diversity, and inclusion (JEDI) lens. Through our partnerships with businesses and community leaders, we support the develo",,,
The Madison,,,,,,,,AboutWedding Venue and conference center located in Midtown Cleveland,,,
The Center for Community Solutions,,,,,,,,"AboutThe Center for Community Solutions is a nonpartisan think tank focused on solutions to health, social and economic issues. Community Solutions’ efforts are critical to the work and effectiveness of direct service organizations in Northeast Ohio.These organizations use our data to identify changes in community demographics that will impact their services and identify the gaps and overlaps within these services. They use our analysis to better understand public policies that affect their work",,,
"The Shinn Law Firm, LLC",,,,,,,,,,,
The LGBT Community Center of Greater Cleveland,,,,,,,,"AboutTHE LESBIAN, GAY, BISEXUAL & TRANSGENDER COMMUNITY CENTER OF GREATER CLEVELAND is a not-for-profit community and cultural center serving the needs of LGBTQ+ community members in Northeast Ohio.",,,
The Brother's Lounge,,,,,,,,,,,
Teambff-Paparazzi Accessories,,,,,,,,AboutSmall business selling $5 Paparazzi Accessories,,,
Teambff-Paparazzi Accessories,,,,,,,,AboutSmall business selling $5 Paparazzi Accessories,,,
The Mallicoat Group- CrossCountry Mortgage LLC,,,,,,,,"AboutOur mission is simple: to provide you with the best possible advice and benefit to your financial needs while facilitating a straightforward, transparent mortgage process for buyers, sellers and realtors.Our goal is to be recognized as the leading and most reputable mortgage company in the nation. We begin that process by earning your trust through knowledge and communication. You are our first priority and we pride ourselves on developing rewarding, long-term customer relationships. We can",,,
The Keep Safe Insurance,,,,,,,,"AboutInsurance. I do all health insurances, Medicare, Individual, Group, and ancillary Health. I also do life and long term care insurance as well as annuities.",,,
The Well CDC,,,,,,,,"AboutThe Well CDC invests in people through the built environment.We seek a holistic approach to address systemic issues in order to improve the quality of life within the Middlebury neighborhood by fostering choice in housing, job creation and community pride.As Akron?s first place-based community development corporation devoted to the Middlebury neighborhood, we seek to create a shared prosperity for current residents through housing, economic development, and placemaking initiatives.RESTORING",,,
Thriveworks Middleburg Heights,,,,,,,,AboutGay owned LGBTQ+ affirming group psychotherapy practice,,,
TRIAD Communications,,,,,,,,"AboutFounded in 1994, TRIAD's team of creative strategists craft award-winning digital marketing and design solutions for businesses, government, non-profits and foundations.",,,
The Red Twig Floral Design Studio,,,,,,,,"AboutThe Red Twig offers creative floral design to make events and spaces beautiful and memorable.Centrally located in Hudson, between Cleveland and Akron, Ohio, The Red Twig provides beautiful custom floral arrangements for event, individual, and commercial purposes. Unlike standard florists, with fixed inventory, we take an unrestrained approach to floral design, using multiple techniques to tailor-make each event fit the needs of our specific clients. Our flowers are purchased exclusively for",,,
The Urban Orchid,,,,,,,,AboutUrban orchid is a highend flower shop that caters to all your floral needs.,,,
Transwellness Resources & Support Network,,,,,,,,"AboutTranswellness Resources & Support Network mission is to uplift, educate, and advocate awareness and support, without barriers, for our marginalized Transgender Community.",,,
Twist Social Club,,,,,,,,AboutTwist Social Club is a neighborhood bar and night club focused on serving the LGBT community of greater Cleveland. We have a robust entertainment schedule including monthly theme parties and Cleveland's best DJ's. In addition each day of the week has it own unique activity or theme from Trivia Tuesday to Karaoke.,,,
TransHumanity,,,,,,,,"AboutTrans Humanity is a transgender advocacy organization that aims to empower and support transgender and all gender diverse individuals in their personal and professional lives.Our organization provides a safe and inclusive space for transgender people to connect, share experiences, and access resources that address their unique needs.",,,
The Elliot,,,,,,,,"AboutFormerly home to the Holy Ghost Church in Cleveland's Tremont neighborhood, The Elliot is a private event and wedding venue that celebrates its historic architecture while providing modern features.",,,
The J.M. Smucker Company,,,,,,,,"AboutA leading consumer packaged goods company that makes great tasting, convenient and responsibly produced food that appeals to each generation of people and pets.",,,
The Yunker Group,,,,,,,,"AboutFounded in 1995 on the principle Helping Others Make a Difference®, The Yunker Group offers tailored C-level executive search services to 501(c)(3) and(c)(6) nonprofits.",,,
"The Goodwill Industries of Akron, Ohio, Inc.",,,,,,,,"AboutGoodwill Industries of Akron is a private, not-for-profit corporation, the purpose of which is to provide employment preparation, training, rehabilitation, employment and support.",,,
T. Potter Instructional Design,,,,,,,,AboutT. Potter Instructional Design partners with experts to create customized training for your audience. We make course creation easy. Visit us at https://tpotterdesign.com/services/ to learn more about our services.,,,
The Elliot,,,,,,,,"AboutFormerly home to the Holy Ghost Church in Cleveland's Tremont neighborhood, The Elliot is a private event and wedding venue that celebrates its historic architecture while providing modern features.",,,
The City Club of Cleveland,,,,,,,,"AboutThe City Club of Cleveland is a vibrant, dynamic, and diverse Forum for citizens and thought leaders invested in understanding and discussing the issues and ideas that shape our future.",,,
The MetroHealth System,,,,,,,,"AboutThe MetroHealth System is an essential health system committed to providing health care to everyone in Cuyahoga County, Ohio, and improving the health of the community overall.",,,
Transwellness Resources & Support Network,,,,,,,,"AboutTranswellness Resources & Support Network mission is to uplift, educate, and advocate awareness and support, without barriers, for our marginalized Transgender Community.",,,
The Thresholds Group,,,,,,,,"AboutReal Estate Advisor, Agent & Coach",,,
The Lubrizol Corporation,,,,,,,,AboutChemical Industry,,,
T. Potter Instructional Design,,,,,,,,AboutT. Potter Instructional Design partners with experts to create customized training for your audience. We make course creation easy. Visit us at https://tpotterdesign.com/services/ to learn more about our services.,,,
The Center for Student Diversity and Inclusion at John Carroll University,,,,,,,,AboutThe Center for Student Diversity and Inclusion at John Carroll University. We promote DEIB on campus and provide education for staff/faculty and students.,,,
The Thresholds Group,,,,,,,,"AboutReal Estate Advisor, Agent & Coach",,,
The Reading Room CLE,,,,,,,,AboutWe're an antisegregationist nonprofit bookstore that accepts donated used books and sells them to support literary and literacy programming.,,,
Thrive Coaching & Consulting,,,,,,,,"AboutThrive Coaching & Consulting is a positive Human Resources provider of Fractional HR Leadership, Coaching and meaningful learning experiences.",,,
The Green Photograph,,,,,,,,"AboutThe Green Photograph is a woman-owned commercial photography business. It is rooted in color-theory, with a mission to respect the melanin, shade, and look of an individual.",,,
"Troy Bratz, REALTOR  Keller Williams Elevate",18318 Pearl Road,Strongsville,OH,44136,216-702-2196,troybratz@kw.com,troybratz.kw.com,"AboutFather of 2 rambunctious kids and doggie daddy to our Aussie Cattle mix, Nymphadora... We are Harry Potter fans.Husband of 1 incredibly hard-working and devoted woman.20+ year veteran of the Real Estate industry... including Housing Policy Research, HUD Property Management, Affordable Housing & Market Rate Housing Development. Currently serving on the Board of Directors for the Lakewood Chamber of Commerce. When not serving as a room parent, soccer coach or chauffeur to the little ones, we ",,2025-11-29,Email
Talespinner Children's Theatre,,,,,,,,"AboutTalespinner Children's Theatre is a Cleveland-based company that develops and produces highly imaginative, original, collaborative and interactive professional works for children.",,,
The Home Is Key,,,,,,,,,,,
The Center for Student Diversity and Inclusion at John Carroll University,,,,,,,,AboutThe Center for Student Diversity and Inclusion at John Carroll University. We promote DEIB on campus and provide education for staff/faculty and students.,,,
The Presidents’ Council,,,,,,,,,,,
The Urban Orchid,,,,,,,,AboutUrban orchid is a highend flower shop that caters to all your floral needs.,,,
The Keep Safe Insurance,,,,,,,,"AboutInsurance. I do all health insurances, Medicare, Individual, Group, and ancillary Health. I also do life and long term care insurance as well as annuities.",,,
The LGBT Community Center of Greater Cleveland,,,,,,,,"AboutTHE LESBIAN, GAY, BISEXUAL & TRANSGENDER COMMUNITY CENTER OF GREATER CLEVELAND is a not-for-profit community and cultural center serving the needs of LGBTQ+ community members in Northeast Ohio.",,,
Twist Social Club,,,,,,,,AboutTwist Social Club is a neighborhood bar and night club focused on serving the LGBT community of greater Cleveland. We have a robust entertainment schedule including monthly theme parties and Cleveland's best DJ's. In addition each day of the week has it own unique activity or theme from Trivia Tuesday to Karaoke.,,,
The Reading Room CLE,,,,,,,,AboutWe're an antisegregationist nonprofit bookstore that accepts donated used books and sells them to support literary and literacy programming.,,,
"The Goodwill Industries of Akron, Ohio, Inc.",,,,,,,,"AboutGoodwill Industries of Akron is a private, not-for-profit corporation, the purpose of which is to provide employment preparation, training, rehabilitation, employment and support.",,,
Thriveworks Middleburg Heights,,,,,,,,AboutGay owned LGBTQ+ affirming group psychotherapy practice,,,
TRIAD Communications,,,,,,,,"AboutFounded in 1994, TRIAD's team of creative strategists craft award-winning digital marketing and design solutions for businesses, government, non-profits and foundations.",,,
Tri-C Corporate College,,,,,,,,,,,
"United Church of Christ, National Ministries",,,,,,Humanresources@ucc.org,,"AboutThe United Church of Christ (UCC) is a distinct and diverse community of Christians that come together as one church to join faith and action.  With over 5,000 churches and nearly one million members across the U.S., the UCC serves God in the co-creation of a just and sustainable world.  The UCC is a church of firsts, a church of extravagant welcome, and a church where “…they may all be one” (John 17:21).The Church of FirstsSince 1957, the United Church of Christ has been the church of firs",,,
Ursuline College Athletics,,,,,,,,"AboutATHLETIC DEPARTMENT PHILOSOPHY AND MISSION STATEMENTThe goal of the intercollegiate athletic program at Ursuline College is to promote the total development of the student-athlete through academic excellence and participation in athletics. We stress learning through a challenging academic program and values-based, high-level athletic competition as a means to develop the intellectual, personal, physical and moral potential of the person.Student-athletes are given the opportunity to reach th",,,
"United Church of Christ, National Ministries",,,,,,Humanresources@ucc.org,,"AboutThe United Church of Christ (UCC) is a distinct and diverse community of Christians that come together as one church to join faith and action.  With over 5,000 churches and nearly one million members across the U.S., the UCC serves God in the co-creation of a just and sustainable world.  The UCC is a church of firsts, a church of extravagant welcome, and a church where “…they may all be one” (John 17:21).The Church of FirstsSince 1957, the United Church of Christ has been the church of firs",,,
Ursuline College Athletics,,,,,,,,"AboutATHLETIC DEPARTMENT PHILOSOPHY AND MISSION STATEMENTThe goal of the intercollegiate athletic program at Ursuline College is to promote the total development of the student-athlete through academic excellence and participation in athletics. We stress learning through a challenging academic program and values-based, high-level athletic competition as a means to develop the intellectual, personal, physical and moral potential of the person.Student-athletes are given the opportunity to reach th",,,
Vampy Vegan,,,,,,,,,,,
Vitiman Kandie,,,,,,,,"AboutWith over 15 years of experience, we are more than just a brand. We are a lifestyle. Dive into our journey of transforming lives with a vegan touch.",,,
Where the Heart Is Catering,,,,,,,,"AboutWhere the Heart Is Catering and Events will touch the hearts of both you and your guests. Upon entering a venue full of the design and food that comes only from WTHI, you will notice we've put our  time, energy and love into making your event stellar!Undoubtedly, you are the heartbeat of ''Where the Heart is Catering & Events.'' That is why your event food, design and decor will be of the highest quality, the latest trends, and executed with professionalism upon our first contact with you, ",,,
Woodhouse Day Spa,,,,,,,,"AboutThe Woodhouse Day Spa Cleveland is a 5,200+ square feet of Victorian décor, featuring 16 Private Guest Treatment Rooms, Men’s & Women’s Quiet Rooms, Duet Massage Room, Bath & Massage Room, Private Man",,,
Wax Mage Records,,,,,,,,AboutCleveland based record label,,,
